timestamp,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z,vel_x,vel_y,vel_z
1740764328225866684,-0.8802955746650696,-0.5785315632820129,-7.490752614103258e-05,8.13131919130683e-05,0.0031562987715005875,-0.8715928792953491,0.0,0.0,0.0
1740764328276608955,-0.8802955746650696,-0.5785315632820129,-7.490752614103258e-05,8.13131919130683e-05,0.0031562987715005875,-0.8715928792953491,0.0,0.0,0.0
1740764328338586439,-0.8802955746650696,-0.5785315632820129,-7.490752614103258e-05,8.13131919130683e-05,0.0031562987715005875,-0.8715928792953491,0.0,0.0,0.0
1740764328374544805,-0.8802955746650696,-0.5785315632820129,-7.490752614103258e-05,8.13131919130683e-05,0.0031562987715005875,-0.8715928792953491,0.0,0.0,0.0
1740764328427138717,-0.8802955746650696,-0.5785315632820129,-7.490752614103258e-05,8.13131919130683e-05,0.0031562987715005875,-0.8715928792953491,0.0,0.0,0.0
1740764328470738513,-0.8802955746650696,-0.5785315632820129,-7.490752614103258e-05,8.13131919130683e-05,0.0031562987715005875,-0.8715928792953491,0.0,0.0,0.0
1740764328530665526,-0.8802955746650696,-0.5785315632820129,-7.490752614103258e-05,8.13131919130683e-05,0.0031562987715005875,-0.8715928792953491,0.0,0.0,0.0
1740764328579203438,-0.8802955746650696,-0.5785315632820129,-7.490752614103258e-05,8.13131919130683e-05,0.0031562987715005875,-0.8715928792953491,0.0,0.0,0.0
1740764328631604834,-0.8802955746650696,-0.5785315632820129,-7.490752614103258e-05,8.13131919130683e-05,0.0031562987715005875,-0.8715928792953491,0.0,0.0,0.0
1740764328677031198,-0.8802955746650696,-0.5785315632820129,-7.490752614103258e-05,8.13131919130683e-05,0.0031562987715005875,-0.8715928792953491,0.0,0.0,0.0
1740764328722457784,-0.8802955746650696,-0.5785315632820129,-7.490752614103258e-05,8.13131919130683e-05,0.0031562987715005875,-0.8715928792953491,0.0,0.0,0.0
1740764328774148930,-0.8802955746650696,-0.5785315632820129,-7.490752614103258e-05,8.13131919130683e-05,0.0031562987715005875,-0.8715928792953491,0.0,0.0,0.0
1740764328824268617,-0.8802955746650696,-0.5785315632820129,-7.490752614103258e-05,8.13131919130683e-05,0.0031562987715005875,-0.8715928792953491,0.0,0.0,0.0
1740764328875006850,-0.8802955746650696,-0.5785315632820129,-7.490752614103258e-05,8.13131919130683e-05,0.0031562987715005875,-0.8715928792953491,0.0,0.0,0.0
1740764328920680229,-0.8802955746650696,-0.5785315632820129,-7.490752614103258e-05,8.13131919130683e-05,0.0031562987715005875,-0.8715928792953491,0.0,0.0,0.0
1740764328974191017,-0.8802955746650696,-0.5785315632820129,-7.490752614103258e-05,2.641463652253151e-07,0.003212784416973591,-0.8715927004814148,0.0,0.0,0.0
1740764329028568996,-0.8802955746650696,-0.5785315632820129,-7.490752614103258e-05,1.2891832739114761e-06,0.0032121464610099792,-0.8715927004814148,0.0,0.0,0.0
1740764329073831213,-0.8802955746650696,-0.5785315632820129,-7.490752614103258e-05,3.0099181458353996e-06,0.003211463335901499,-0.8715927004814148,0.0,0.0,0.0
1740764329124770741,-0.8802955746650696,-0.5785315632820129,-7.490752614103258e-05,3.7383288145065308e-06,0.0032124656718224287,-0.8715927004814148,0.0,0.0,0.0
1740764329172251983,-0.8802955746650696,-0.5785315632820129,-7.490752614103258e-05,3.897468559443951e-06,0.0032132151536643505,-0.8715927004814148,0.0,0.0,0.0
